m2_terreno,cantidad_personas,orientacion,forma_terreno,cantidad_dormitorio,cantidad_bano,m2_cocina,m2_estar_comedor,m2_dormitorios_total,m2_banos_total,costo_estimado,tiempo_meses,layout_key_target
136,2,4,irregular,2,1,7,12.2,25.1,4.3,42916,5,2-dorm
383,4,4,irregular,3,2,9,34.8,35.3,8.3,81605,8,3-dorm-compacto
270,3,4,irregular,2,1,10.4,28.5,29.9,3.7,50232,6,2-dorm
144,3,1,cuadrado,2,2,10.7,12.9,28.1,6.8,49209,7,2-dorm
450,1,1,ancho,1,1,13.6,36,14.4,3.9,45899,7,1-dorm
311,2,2,irregular,1,1,9.1,20.6,9.2,4.8,41007,5,1-dorm
100,2,4,ancho,2,2,7.4,7.5,23,9,39771,5,2-dorm
314,3,4,angosto,3,2,11.1,27.5,30.3,9.1,59007,7,3-dorm-largo
292,3,2,irregular,2,1,8.4,26.6,24.6,3.3,42233,5,2-dorm
207,3,2,irregular,3,2,10.7,20.2,30.9,9.5,61884,5,3-dorm-compacto
286,3,3,ancho,2,1,12.3,22.3,22.3,4.3,49138,5,2-dorm
376,3,1,cuadrado,2,1,10.6,27.6,23.2,3.4,54352,6,2-dorm
432,4,4,cuadrado,3,1,10.1,43.4,30.5,3.1,81966,8,3-dorm-compacto
328,2,2,cuadrado,1,1,9.6,23,14.1,4.5,51118,7,1-dorm
255,1,1,ancho,1,1,9.3,14.1,13.6,3.1,33691,4,1-dorm
287,3,3,angosto,3,2,6.7,29.1,36.2,9,64517,7,3-dorm-largo
251,1,2,ancho,1,1,8.9,14.9,12,3.8,35775,4,1-dorm
441,2,2,irregular,1,1,11,37.7,9.8,4.3,42235,6,1-dorm
178,3,2,angosto,3,2,7.7,16.8,35.5,9,65740,5,3-dorm-largo
101,2,2,cuadrado,2,2,11.8,7,25.4,8.7,50529,6,2-dorm
338,3,1,ancho,3,2,11.7,33.7,42.7,6.6,87588,8,3-dorm-largo
432,4,3,ancho,2,1,13.5,37.8,26.6,4.9,57722,8,2-dorm
197,3,3,ancho,2,1,6.9,18.2,26.8,3.5,48412,6,2-dorm
